"epoch","l64 - _step","l64 - _step__MIN","l64 - _step__MAX","l64 - val_len","l64 - val_len__MIN","l64 - val_len__MAX","l128 - _step","l128 - _step__MIN","l128 - _step__MAX","l128 - val_len","l128 - val_len__MIN","l128 - val_len__MAX","l8 - _step","l8 - _step__MIN","l8 - _step__MAX","l8 - val_len","l8 - val_len__MIN","l8 - val_len__MAX","l32 - _step","l32 - _step__MIN","l32 - _step__MAX","l32 - val_len","l32 - val_len__MIN","l32 - val_len__MAX","l16 - _step","l16 - _step__MIN","l16 - _step__MAX","l16 - val_len","l16 - val_len__MIN","l16 - val_len__MAX"
"0","9","9","9","8.798999786376953","8.798999786376953","8.798999786376953","9","9","9","101.44000244140625","101.44000244140625","101.44000244140625","9","9","9","7.259749889373779","7.259749889373779","7.259749889373779","9","9","9","14.407500267028809","14.407500267028809","14.407500267028809","9","9","9","7","7","7"
"1","18","18","18","19.24275016784668","19.24275016784668","19.24275016784668","18","18","18","53.079917907714844","53.079917907714844","53.079917907714844","18","18","18","5.58441686630249","5.58441686630249","5.58441686630249","18","18","18","32","32","32","18","18","18","4.035999774932861","4.035999774932861","4.035999774932861"
"2","26","26","26","7.937666893005371","7.937666893005371","7.937666893005371","26","26","26","27.16724967956543","27.16724967956543","27.16724967956543","26","26","26","8","8","8","26","26","26","32","32","32","26","26","26","13.866000175476074","13.866000175476074","13.866000175476074"
"3","35","35","35","57.053165435791016","57.053165435791016","57.053165435791016","35","35","35","49.11466598510742","49.11466598510742","49.11466598510742","35","35","35","8","8","8","35","35","35","32","32","32","35","35","35","16","16","16"
"4","43","43","43","46.89875030517578","46.89875030517578","46.89875030517578","43","43","43","102.22941589355469","102.22941589355469","102.22941589355469","43","43","43","8","8","8","43","43","43","32","32","32","43","43","43","16","16","16"
"5","52","52","52","60.634918212890625","60.634918212890625","60.634918212890625","52","52","52","103.21058654785156","103.21058654785156","103.21058654785156","52","52","52","6.244999885559082","6.244999885559082","6.244999885559082","52","52","52","32","32","32","52","52","52","16","16","16"
"6","60","60","60","50.479000091552734","50.479000091552734","50.479000091552734","60","60","60","126.3385009765625","126.3385009765625","126.3385009765625","60","60","60","7.545666694641113","7.545666694641113","7.545666694641113","60","60","60","32","32","32","60","60","60","15.985333442687988","15.985333442687988","15.985333442687988"
"7","69","69","69","42.866249084472656","42.866249084472656","42.866249084472656","69","69","69","124.44017028808594","124.44017028808594","124.44017028808594","69","69","69","6.4631667137146","6.4631667137146","6.4631667137146","69","69","69","32","32","32","69","69","69","15.958000183105469","15.958000183105469","15.958000183105469"
"8","77","77","77","47.256168365478516","47.256168365478516","47.256168365478516","77","77","77","118.4001693725586","118.4001693725586","118.4001693725586","77","77","77","6.517000198364258","6.517000198364258","6.517000198364258","77","77","77","32","32","32","77","77","77","15.962499618530273","15.962499618530273","15.962499618530273"
"9","86","86","86","23.875917434692383","23.875917434692383","23.875917434692383","86","86","86","118.4713363647461","118.4713363647461","118.4713363647461","86","86","86","5.629083156585693","5.629083156585693","5.629083156585693","86","86","86","32","32","32","86","86","86","15.976249694824219","15.976249694824219","15.976249694824219"
