"epoch","l64 - _step","l64 - _step__MIN","l64 - _step__MAX","l64 - val_loss","l64 - val_loss__MIN","l64 - val_loss__MAX","l128 - _step","l128 - _step__MIN","l128 - _step__MAX","l128 - val_loss","l128 - val_loss__MIN","l128 - val_loss__MAX","l8 - _step","l8 - _step__MIN","l8 - _step__MAX","l8 - val_loss","l8 - val_loss__MIN","l8 - val_loss__MAX","l32 - _step","l32 - _step__MIN","l32 - _step__MAX","l32 - val_loss","l32 - val_loss__MIN","l32 - val_loss__MAX","l16 - _step","l16 - _step__MIN","l16 - _step__MAX","l16 - val_loss","l16 - val_loss__MIN","l16 - val_loss__MAX"
"0","9","9","9","0.12637971341609955","0.12637971341609955","0.12637971341609955","9","9","9","0.12558890879154205","0.12558890879154205","0.12558890879154205","9","9","9","0.12735043466091156","0.12735043466091156","0.12735043466091156","9","9","9","0.13047350943088531","0.13047350943088531","0.13047350943088531","9","9","9","0.1304634064435959","0.1304634064435959","0.1304634064435959"
"1","18","18","18","0.1241597831249237","0.1241597831249237","0.1241597831249237","18","18","18","0.11955973505973816","0.11955973505973816","0.11955973505973816","18","18","18","0.13192366063594818","0.13192366063594818","0.13192366063594818","18","18","18","0.127879798412323","0.127879798412323","0.127879798412323","18","18","18","0.12908002734184265","0.12908002734184265","0.12908002734184265"
"2","26","26","26","0.11855395138263702","0.11855395138263702","0.11855395138263702","26","26","26","0.12230373919010162","0.12230373919010162","0.12230373919010162","26","26","26","0.14004932343959808","0.14004932343959808","0.14004932343959808","26","26","26","0.11981639266014099","0.11981639266014099","0.11981639266014099","26","26","26","0.13365179300308228","0.13365179300308228","0.13365179300308228"
"3","35","35","35","0.12129882723093033","0.12129882723093033","0.12129882723093033","35","35","35","0.11621913313865662","0.11621913313865662","0.11621913313865662","35","35","35","0.13189566135406494","0.13189566135406494","0.13189566135406494","35","35","35","0.11966174095869064","0.11966174095869064","0.11966174095869064","35","35","35","0.11691206693649292","0.11691206693649292","0.11691206693649292"
"4","43","43","43","0.11618883162736893","0.11618883162736893","0.11618883162736893","43","43","43","0.11547520011663437","0.11547520011663437","0.11547520011663437","43","43","43","0.1184992790222168","0.1184992790222168","0.1184992790222168","43","43","43","0.11600939184427261","0.11600939184427261","0.11600939184427261","43","43","43","0.11728621274232864","0.11728621274232864","0.11728621274232864"
"5","52","52","52","0.12203308939933777","0.12203308939933777","0.12203308939933777","52","52","52","0.1139027327299118","0.1139027327299118","0.1139027327299118","52","52","52","0.11763793975114822","0.11763793975114822","0.11763793975114822","52","52","52","0.11530563235282898","0.11530563235282898","0.11530563235282898","52","52","52","0.11524688452482224","0.11524688452482224","0.11524688452482224"
"6","60","60","60","0.11625275015830994","0.11625275015830994","0.11625275015830994","60","60","60","0.11084923148155212","0.11084923148155212","0.11084923148155212","60","60","60","0.11626042425632477","0.11626042425632477","0.11626042425632477","60","60","60","0.11441074311733246","0.11441074311733246","0.11441074311733246","60","60","60","0.113802969455719","0.113802969455719","0.113802969455719"
"7","69","69","69","0.11469101160764694","0.11469101160764694","0.11469101160764694","69","69","69","0.10405288636684418","0.10405288636684418","0.10405288636684418","69","69","69","0.11616029590368271","0.11616029590368271","0.11616029590368271","69","69","69","0.1136803925037384","0.1136803925037384","0.1136803925037384","69","69","69","0.11247568577528","0.11247568577528","0.11247568577528"
"8","77","77","77","0.11256199330091476","0.11256199330091476","0.11256199330091476","77","77","77","0.10024300217628479","0.10024300217628479","0.10024300217628479","77","77","77","0.11486296355724335","0.11486296355724335","0.11486296355724335","77","77","77","0.11184093356132507","0.11184093356132507","0.11184093356132507","77","77","77","0.11092909425497055","0.11092909425497055","0.11092909425497055"
"9","86","86","86","0.10871390998363495","0.10871390998363495","0.10871390998363495","86","86","86","0.09735529869794846","0.09735529869794846","0.09735529869794846","86","86","86","0.11239346116781235","0.11239346116781235","0.11239346116781235","86","86","86","0.11052326112985611","0.11052326112985611","0.11052326112985611","86","86","86","0.10766769200563431","0.10766769200563431","0.10766769200563431"
"10","95","95","95","0.10534388571977615","0.10534388571977615","0.10534388571977615","95","95","95","0.09416994452476501","0.09416994452476501","0.09416994452476501","95","95","95","0.10940052568912506","0.10940052568912506","0.10940052568912506","95","95","95","0.1047552078962326","0.1047552078962326","0.1047552078962326","95","95","95","0.10395762324333191","0.10395762324333191","0.10395762324333191"
"11","104","104","104","0.09868761897087097","0.09868761897087097","0.09868761897087097","104","104","104","0.09246282279491425","0.09246282279491425","0.09246282279491425","104","104","104","0.10725124925374985","0.10725124925374985","0.10725124925374985","104","104","104","0.09970289468765259","0.09970289468765259","0.09970289468765259","104","104","104","0.09719321876764297","0.09719321876764297","0.09719321876764297"
"12","112","112","112","0.09664636105298996","0.09664636105298996","0.09664636105298996","112","112","112","0.0879325270652771","0.0879325270652771","0.0879325270652771","112","112","112","0.1040140762925148","0.1040140762925148","0.1040140762925148","112","112","112","0.10389428585767746","0.10389428585767746","0.10389428585767746","112","112","112","0.09297381341457367","0.09297381341457367","0.09297381341457367"
"13","121","121","121","0.09497296065092087","0.09497296065092087","0.09497296065092087","121","121","121","0.08566170185804367","0.08566170185804367","0.08566170185804367","121","121","121","0.09753117710351944","0.09753117710351944","0.09753117710351944","121","121","121","0.09868669509887695","0.09868669509887695","0.09868669509887695","121","121","121","0.08853287994861603","0.08853287994861603","0.08853287994861603"
"14","129","129","129","0.09388387203216553","0.09388387203216553","0.09388387203216553","129","129","129","0.08198223263025284","0.08198223263025284","0.08198223263025284","129","129","129","0.08927074074745178","0.08927074074745178","0.08927074074745178","129","129","129","0.09693633764982224","0.09693633764982224","0.09693633764982224","129","129","129","0.08303963392972946","0.08303963392972946","0.08303963392972946"
"15","138","138","138","0.09586423635482788","0.09586423635482788","0.09586423635482788","138","138","138","0.07825838029384613","0.07825838029384613","0.07825838029384613","138","138","138","0.08501996845006943","0.08501996845006943","0.08501996845006943","138","138","138","0.08989768475294113","0.08989768475294113","0.08989768475294113","138","138","138","0.08055330812931061","0.08055330812931061","0.08055330812931061"
"16","146","146","146","0.09127398580312729","0.09127398580312729","0.09127398580312729","146","146","146","0.07989659160375595","0.07989659160375595","0.07989659160375595","146","146","146","0.08226385712623596","0.08226385712623596","0.08226385712623596","146","146","146","0.08686714619398117","0.08686714619398117","0.08686714619398117","146","146","146","0.07619631290435791","0.07619631290435791","0.07619631290435791"
