"epoch","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - val_len","9 - val_len__MIN","9 - val_len__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - val_len","17 - val_len__MIN","17 - val_len__MAX","33 - _step","33 - _step__MIN","33 - _step__MAX","33 - val_len","33 - val_len__MIN","33 - val_len__MAX","65 - _step","65 - _step__MIN","65 - _step__MAX","65 - val_len","65 - val_len__MIN","65 - val_len__MAX","129 - _step","129 - _step__MIN","129 - _step__MAX","129 - val_len","129 - val_len__MIN","129 - val_len__MAX"
"0","9","9","9","1.160333275794983","1.160333275794983","1.160333275794983","9","9","9","0","0","0","9","9","9","10","10","10","9","9","9","0","0","0","9","9","9","10","10","10"
"1","18","18","18","2.3004167079925537","2.3004167079925537","2.3004167079925537","18","18","18","0.23274999856948853","0.23274999856948853","0.23274999856948853","18","18","18","10","10","10","18","18","18","0.007166666444391012","0.007166666444391012","0.007166666444391012","18","18","18","10","10","10"
"2","26","26","26","3.241666555404663","3.241666555404663","3.241666555404663","26","26","26","4.959583282470703","4.959583282470703","4.959583282470703","26","26","26","10","10","10","26","26","26","1.5456666946411133","1.5456666946411133","1.5456666946411133","26","26","26","10","10","10"
"3","35","35","35","2.231916666030884","2.231916666030884","2.231916666030884","35","35","35","2.065333366394043","2.065333366394043","2.065333366394043","35","35","35","10","10","10","35","35","35","1.9528332948684692","1.9528332948684692","1.9528332948684692","35","35","35","10","10","10"
"4","43","43","43","1.6382499933242798","1.6382499933242798","1.6382499933242798","43","43","43","2.3577499389648438","2.3577499389648438","2.3577499389648438","43","43","43","10","10","10","43","43","43","10","10","10","43","43","43","10","10","10"
"5","52","52","52","2.8265833854675293","2.8265833854675293","2.8265833854675293","52","52","52","2.0136666297912598","2.0136666297912598","2.0136666297912598","52","52","52","10","10","10","52","52","52","10","10","10","52","52","52","10","10","10"
"6","60","60","60","3.652250051498413","3.652250051498413","3.652250051498413","60","60","60","1.8315833806991577","1.8315833806991577","1.8315833806991577","60","60","60","9.991000175476074","9.991000175476074","9.991000175476074","60","60","60","10","10","10","60","60","60","9.999666213989258","9.999666213989258","9.999666213989258"
"7","69","69","69","4.747583389282227","4.747583389282227","4.747583389282227","69","69","69","1.7569999694824219","1.7569999694824219","1.7569999694824219","69","69","69","9.999750137329102","9.999750137329102","9.999750137329102","69","69","69","9.999166488647461","9.999166488647461","9.999166488647461","69","69","69","9.999333381652832","9.999333381652832","9.999333381652832"
"8","77","77","77","6.196416854858398","6.196416854858398","6.196416854858398","77","77","77","2.1919167041778564","2.1919167041778564","2.1919167041778564","77","77","77","10","10","10","77","77","77","10","10","10","77","77","77","9.988666534423828","9.988666534423828","9.988666534423828"
"9","86","86","86","5.16225004196167","5.16225004196167","5.16225004196167","86","86","86","2.307166576385498","2.307166576385498","2.307166576385498","86","86","86","9.998332977294922","9.998332977294922","9.998332977294922","86","86","86","10","10","10","86","86","86","10","10","10"
"10","95","95","95","5.538416862487793","5.538416862487793","5.538416862487793","95","95","95","4.944250106811523","4.944250106811523","4.944250106811523","95","95","95","10","10","10","95","95","95","10","10","10","95","95","95","8.986583709716797","8.986583709716797","8.986583709716797"
"11","104","104","104","6.454083442687988","6.454083442687988","6.454083442687988","104","104","104","5.063166618347168","5.063166618347168","5.063166618347168","104","104","104","10","10","10","104","104","104","10","10","10","104","104","104","4.017250061035156","4.017250061035156","4.017250061035156"
"12","112","112","112","7.066333293914795","7.066333293914795","7.066333293914795","112","112","112","5.6842498779296875","5.6842498779296875","5.6842498779296875","112","112","112","10","10","10","112","112","112","10","10","10","112","112","112","3.7256667613983154","3.7256667613983154","3.7256667613983154"
"13","121","121","121","7.132416725158691","7.132416725158691","7.132416725158691","121","121","121","6.409999847412109","6.409999847412109","6.409999847412109","121","121","121","10","10","10","121","121","121","9.999833106994629","9.999833106994629","9.999833106994629","121","121","121","3.958750009536743","3.958750009536743","3.958750009536743"
